GEO_ID|B19013_E001|B19013_M001
04000H0US55|66674|507
04000H0US56|72268|1216
04000H0US72|20270|978
040C201US01|59948|584
040C201US02|89194|1707
040C201US04|73915|463
040C201US05|56121|646
040C201US06|92421|282
040C201US08|87562|548
040C201US09|85451|754
040C201US10|79135|1412
040C201US11|101722|1569
040C201US12|68197|265
040C201US13|73302|422
040C201US15|97841|1308
040C201US16|70576|924
040C201US17|78656|356
040C201US18|63819|398
040C201US19|67357|594
040C201US20|69383|582
040C201US21|62333|578
040C201US22|58137|568
040C201US23|65413|910
040C201US24|96633|583
040C201US25|94623|523
040C201US26|66635|415
040C201US27|84899|487
040C201US28|52209|773
040C201US29|66740|475
040C201US30|64481|1062
040C201US31|71091|698
040C201US32|71240|520
040C201US33|85910|1269
040C201US34|95589|623
040C201US35|59359|677
040C201US36|81715|393
040C201US37|68632|429
040C201US38|70417|1413
040C201US39|64650|307
040C201US40|60310|594
040C201US41|76652|588
040C201US42|72468|406
040C201US44|78079|1428
040C201US45|66864|683
040C201US46|67013|1216
040C201US47|64708|450
040C201US48|73080|252
040C201US49|87213|732
040C201US50|68546|1477
040C201US51|92400|523
040C201US53|91059|500
040C201US54|55211|957
040C201US55|69375|432
040C201US56|69134|1683
040C201US72|24535|228
040C243US01|59166|495
040C243US02|80007|1600
040C243US04|61874|1042
040C243US05|56615|599
040C243US06|83099|799
040C243US08|87834|1224
040C243US09|120594|2239
040C243US10|80281|2412
040C243US12|64421|690
040C243US13|66377|618
040C243US15|76207|3147
040C243US16|69322|884
040C243US17|77203|624
040C243US18|75699|717
040C243US19|76330|502
040C243US20|70774|712
040C243US21|57220|662
040C243US22|57168|834
040C243US23|70147|968
040C243US24|110142|1444
040C243US25|116249|1606
040C243US26|73300|409
040C243US27|82864|570
040C243US28|53658|643
040C243US29|64131|527
040C243US30|68581|852
040C243US31|73451|750
040C243US32|81214|3200
040C243US33|98720|1602
040C243US34|119418|1505
040C243US35|56433|1303
040C243US36|79630|618
040C243US37|61459|509
040C243US38|80183|1248
040C243US39|74408|524
040C243US40|63376|490
040C243US41|76544|945
040C243US42|75215|420
040C243US44|116437|3867
040C243US45|57174|812
040C243US46|73254|958
040C243US47|62651|674
040C243US48|72796|536
040C243US49|83728|1360
040C243US50|77357|1412
040C243US51|73252|653
040C243US53|86134|896
040C243US54|55222|781
040C243US55|79434|446
040C243US56|80230|2364
040C243US72|18342|626
0500000US01001|68315|4941
0500000US01003|71039|2374
0500000US01005|39712|3289
0500000US01007|50669|8260
0500000US01009|57440|3308
0500000US01011|36136|4731
0500000US01013|44429|4102
0500000US01015|54339|2221
0500000US01017|48805|5967
0500000US01019|46621|3697
0500000US01021|62471|3466
0500000US01023|43299|8544
0500000US01025|47549|7087
0500000US01027|48074|4545
0500000US01029|51553|4006
0500000US01031|62199|3570
0500000US01033|56149|3200
0500000US01035|39888|4152
0500000US01037|52279|4025
0500000US01039|48772|4644
0500000US01041|48557|3908
0500000US01043|58119|2269
0500000US01045|52813|3967
0500000US01047|37180|3448
0500000US01049|47920|2836
0500000US01051|73258|2727
0500000US01053|41153|2502
0500000US01055|52177|1922
0500000US01057|45650|6646
0500000US01059|47359|4879
0500000US01061|47608|4353
0500000US01063|32796|4030
0500000US01065|35851|7915
0500000US01067|58395|5437
0500000US01069|55064|1412
0500000US01071|46748|2079
0500000US01073|63595|1305
0500000US01075|49565|4483
0500000US01077|56081|3092
0500000US01079|54786|3498
0500000US01081|59288|2943
0500000US01083|80146|4029
0500000US01085|33125|4764
0500000US01087|41206|4232
0500000US01089|78058|2232
0500000US01091|42975|5993
0500000US01093|49743|3692
0500000US01095|58272|2006
0500000US01097|55352|1348
0500000US01099|39965|6253
0500000US01101|56707|1821
0500000US01103|61588|2499
0500000US01105|32332|7059
0500000US01107|45339|2865
0500000US01109|42616|4107
0500000US01111|49879|8209
0500000US01113|47420|2828
0500000US01115|73218|4451
0500000US01117|90618|3328
0500000US01119|31726|6535
0500000US01121|52457|2838
0500000US01123|53282|3175
0500000US01125|61645|2209
0500000US01127|52987|3833
0500000US01129|51184|5632
0500000US01131|38208|3720
0500000US01133|49494|4717
0500000US02013|79961|6768
0500000US02016|100662|7734
0500000US02020|95731|2829
0500000US02050|64094|6460
0500000US02060|94167|12682
0500000US02063|83068|10732
0500000US02066|70606|9374
0500000US02068|87292|10131
0500000US02070|69412|26682
0500000US02090|81655|4690
0500000US02100|68276|17797
0500000US02105|62344|5516
0500000US02110|95711|6801
0500000US02122|76272|3470
0500000US02130|82763|5567
0500000US02150|91138|11155
0500000US02158|42663|3389
0500000US02164|61607|7202
0500000US02170|86435|2503
0500000US02180|70121|3554
0500000US02185|83472|17869
0500000US02188|77647|6180
0500000US02195|77826|13410
0500000US02198|61779|3488
0500000US02220|95261|5498
0500000US02230|79583|10798
0500000US02240|75378|7772
0500000US02275|61000|9442
0500000US02282|76875|23980
0500000US02290|47826|5856
0500000US04001|37483|3091
0500000US04003|58421|2593
0500000US04005|67266|1828
0500000US04007|55242|2715
0500000US04009|64089|4152
0500000US04011|73756|3780
0500000US04012|46634|2584
0500000US04013|80675|588
0500000US04015|53592|1874
0500000US04017|50335|2034
0500000US04019|64323|957
0500000US04021|73313|1177
0500000US04023|51885|3210
0500000US04025|62430|1633
0500000US04027|56439|1344
0500000US05001|58695|2163
0500000US05003|44804|5203
0500000US05005|47403|2413
0500000US05007|85269|1607
0500000US05009|52275|3148
0500000US05011|43688|3469
0500000US05013|60237|6104
0500000US05015|56826|5487
0500000US05017|36593|4587
0500000US05019|48071|5734
0500000US05021|44685|4385
0500000US05023|52780|3476
0500000US05025|48913|5969
0500000US05027|47441|6433
0500000US05029|50282|4273
0500000US05031|55169|2630
0500000US05033|56702|2201
0500000US05035|51860|3801
0500000US05037|48129|6592
0500000US05039|40085|9399
0500000US05041|38067|4386
0500000US05043|44968|5175
0500000US05045|61273|3234
0500000US05047|47695|4935
0500000US05049|38917|3644
0500000US05051|54229|2613
0500000US05053|68598|7227
0500000US05055|54879|2724
0500000US05057|45049|4022
0500000US05059|50260|4610
0500000US05061|44824|6121
0500000US05063|52361|4661
0500000US05065|46159|6295
0500000US05067|41929|3365
0500000US05069|46855|2150
0500000US05071|42470|3469
0500000US05073|40262|8531
0500000US05075|43606|3565
0500000US05077|33801|6518
0500000US05079|50526|5374
0500000US05081|58627|11485
0500000US05083|51131|2630
0500000US05085|68078|2801
0500000US05087|51514|5932
0500000US05089|42891|4867
0500000US05091|47613|3922
0500000US05093|50012|4432
0500000US05095|41786|10996
0500000US05097|47103|3596
0500000US05099|43421|4219
0500000US05101|50699|7025
0500000US05103|47348|4748
0500000US05105|53980|8161
0500000US05107|37458|4178
0500000US05109|49248|3312
0500000US05111|43440|2999
0500000US05113|48449|4945
